"Type","Date","Set Time","Title","Amount","Currency","Exchange Rate","Category Group Name","Category","Account","Notes","Labels","Status"
"Expense","2023-10-23 09:54:08","09:54","Food","-235.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-10-21 09:52:58","09:52","Delight","-65.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-10-20 09:53:38","09:53","Haircut","-60.00","PHP","1.0000000000","Personal Care","Self-Care","Wallet","","","Reconciled"
"Expense","2023-10-20 09:53:23","09:53","Jeep","-45.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2023-10-19 09:49:49","09:49","Jeep","-47.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2023-10-18 09:52:07","09:52","Delight","-65.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-10-17 09:52:27","09:52","Adobo","-300.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-10-09 14:41:28","14:41","Yakult","-24.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-10-07 10:03:14","10:03","Delight, Mang Juan","-35.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-10-04 13:11:58","13:11","Transaction fee","-73.00","PHP","1.0000000000","Bills","Transaction Fees","Union Bank","","","Reconciled"
"Expense","2023-10-04 13:11:17","13:11","Food","-195.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-10-03 13:07:17","13:07","Load","-408.00","PHP","1.0000000000","Bills","Load","Wallet","","","Reconciled"
"Expense","2023-10-01 13:10:51","13:10","Jeep","-120.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2023-09-28 13:10:30","13:10","Watsons","-508.00","PHP","1.0000000000","Personal Care","Self-Care","Wallet","","","Reconciled"
"Income","2023-09-28 13:10:15","13:10","Tita Elsie","1000.00","PHP","1.0000000000","Allowance","Allowance","Wallet","","","Reconciled"
"Expense","2023-09-26 12:23:52","12:23","Gym","-700.00","PHP","1.0000000000","Personal Care","Health & Fitness","Wallet","","","Reconciled"
"Income","2023-09-25 18:23:27","18:23","Tita Elsie","1000.00","PHP","1.0000000000","Allowance","Allowance","Wallet","","","Reconciled"
"Income","2023-09-25 12:23:13","12:23","Tita Emily","5000.00","PHP","1.0000000000","Allowance","Tip","Wallet","","","Reconciled"
"Expense","2023-09-16 18:25:01","18:25","Food","-328.00","PHP","1.0000000000","Food","Food & Drinks","GCash","","","Reconciled"
"Income","2023-09-16 18:22:38","18:22","Mommy","-1400.00","PHP","1.0000000000","Allowance","Allowance","Wallet","","","Reconciled"
"Expense","2023-09-15 15:04:36","15:04","Jeep","-9.25","PHP","1.0000000000","Others","Others","Wallet","","","Reconciled"
"Expense","2023-09-15 15:04:20","15:04","Watsons","-182.50","PHP","1.0000000000","Personal Care","Self-Care","Wallet","","","Reconciled"
"Expense","2023-09-15 15:02:43","15:02","Elbi to Airbnb","-192.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2023-09-15 15:02:10","15:02","Jeep","-20.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2023-09-15 15:01:05","15:01","Airbnb","-1243.88","PHP","1.0000000000","Leisure","Hangout ","Union Bank","","","Reconciled"
"Transfer","2023-09-15 14:59:49","14:59","Gcash to Union Bank","-1315.00","PHP","1.0000000000","(Transfer)","(Transfer)","GCash","","","Reconciled"
"Transfer","2023-09-15 14:59:49","14:59","Gcash to Union Bank","1315.00","PHP","1.0000000000","(Transfer)","(Transfer)","Union Bank","","","Reconciled"
"Income","2023-09-15 14:59:16","14:59","Airbnb","1000.00","PHP","1.0000000000","Others","Others","GCash","","","Reconciled"
"Expense","2023-09-15 10:58:58","10:58","Jollibee","-75.00","PHP","1.0000000000","Food","Dine Out","GCash","","","Reconciled"
"Expense","2023-09-14 20:58:38","20:58","7/11","-104.00","PHP","1.0000000000","Food","Dine Out","GCash","","","Reconciled"
"Expense","2023-09-14 15:48:33","15:48","Graduation Pic","-1600.00","PHP","1.0000000000","Education","School Expenses","GCash","","","Reconciled"
"Expense","2023-09-14 15:48:18","15:48","Graduation Pic","-200.00","PHP","1.0000000000","Education","School Expenses","Wallet","","","Reconciled"
"Expense","2023-09-14 14:01:06","14:01","Chicken Laksa","-139.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Expense","2023-09-14 12:02:23","12:02","Bench shirt","-229.00","PHP","1.0000000000","Shopping","Apparel ","Wallet","","","Reconciled"
"Expense","2023-09-14 11:03:44","11:03","Kuya A","1200.00","PHP","1.0000000000","Leisure","Gifts/Treats","GCash","","","Reconciled"
"Expense","2023-09-14 08:01:24","08:01","Bulacan to Elbi","-250.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2023-09-13 18:25:45","18:25","Food","-383.25","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Income","2023-09-13 14:00:46","14:00","Mommy","1500.00","PHP","1.0000000000","Allowance","Allowance","Wallet","","","Reconciled"
"Income","2023-09-12 14:04:39","14:04","Mommy","32.00","PHP","1.0000000000","Allowance","Allowance","GCash","","","Reconciled"
"Expense","2023-09-12 14:03:09","14:03","Food","-111.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-09-12 12:14:03","12:14","Gym","-60.00","PHP","1.0000000000","Personal Care","Health & Fitness","Wallet","","","Reconciled"
"Income","2023-09-12 10:24:51","10:24","Mommy","58.00","PHP","1.0000000000","Allowance","Allowance","Wallet","","","Reconciled"
"Expense","2023-09-11 19:23:41","19:23","Eggs","-18.00","PHP","1.0000000000","Food","Food & Drinks","GCash","","","Reconciled"
"Expense","2023-09-11 16:20:56","16:20","Jeep","-12.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2023-09-11 15:20:32","15:20","Haircut","-60.00","PHP","1.0000000000","Personal Care","Self-Care","Wallet","","","Reconciled"
"Expense","2023-09-11 12:45:04","12:45","Food","-91.00","PHP","1.0000000000","Food","Food & Drinks","GCash","","","Reconciled"
"Expense","2023-09-10 12:13:45","12:13","Food","-26.00","PHP","1.0000000000","Food","Food & Drinks","GCash","","","Reconciled"
"Expense","2023-09-07 12:13:28","12:13","Food","-22.00","PHP","1.0000000000","Food","Food & Drinks","GCash","","","Reconciled"
"Expense","2023-09-07 12:13:10","12:13","Food","-66.00","PHP","1.0000000000","Food","Food & Drinks","GCash","","","Reconciled"
"Transfer","2023-09-06 12:12:49","12:12","Gcash to Cash","-100.00","PHP","1.0000000000","(Transfer)","(Transfer)","GCash","","","Reconciled"
"Transfer","2023-09-06 12:12:49","12:12","Gcash to Cash","100.00","PHP","1.0000000000","(Transfer)","(Transfer)","Wallet","","","Reconciled"
"Expense","2023-08-30 14:22:22","14:22","Elbi to Bulacan","-246.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2023-08-30 13:20:54","13:20","Chocolates","-205.00","PHP","1.0000000000","Leisure","Gifts/Treats","Wallet","","","Reconciled"
"Income","2023-08-30 12:20:04","12:20","Elbids","300.00","PHP","1.0000000000","Others","Buy and Sell","GCash","Rice Cooker ","","Reconciled"
"Income","2023-08-30 12:19:38","12:19","Elbids","800.00","PHP","1.0000000000","Others","Buy and Sell","GCash","Blender","","Reconciled"
"Expense","2023-08-30 10:22:07","10:22","Jeep","-20.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2023-08-30 10:21:36","10:21","Annie's","-91.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Expense","2023-08-30 09:30:41","09:30","Ice Cream","-75.00","PHP","1.0000000000","Leisure","Hangout ","GCash","","","Reconciled"
"Expense","2023-08-29 20:17:04","20:17","7/11","-83.00","PHP","1.0000000000","Leisure","Hangout ","Wallet","","","Reconciled"
"Expense","2023-08-29 17:16:46","17:16","Jeep","-10.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Income","2023-08-29 15:14:39","15:14","Elbids","400.00","PHP","1.0000000000","Others","Buy and Sell","GCash","Bodum French Press","","Reconciled"
"Expense","2023-08-29 15:14:14","15:14","Transaction fee","-17.00","PHP","1.0000000000","Bills","Transaction Fees","Union Bank","","","Reconciled"
"Expense","2023-08-29 15:13:30","15:13","Graduation Fee","-300.00","PHP","1.0000000000","Education","School Expenses","Union Bank","","","Reconciled"
"Expense","2023-08-29 13:36:03","13:36","Instapay","-15.00","PHP","1.0000000000","Bills","Transaction Fees","GCash","","","Reconciled"
"Transfer","2023-08-29 13:35:50","13:35","Gcash to Union Bank","-300.00","PHP","1.0000000000","(Transfer)","(Transfer)","GCash","","","Reconciled"
"Transfer","2023-08-29 13:35:50","13:35","Gcash to Union Bank","300.00","PHP","1.0000000000","(Transfer)","(Transfer)","Union Bank","","","Reconciled"
"Expense","2023-08-29 13:35:42","13:35","Jeep","-12.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2023-08-29 13:09:28","13:09","Annie's","-103.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Expense","2023-08-28 22:22:14","22:22","7/11","-126.00","PHP","1.0000000000","Leisure","Hangout ","Wallet","","","Reconciled"
"Income","2023-08-28 21:33:22","21:33","Elbids","150.00","PHP","1.0000000000","Others","Buy and Sell","Wallet","2 Storage Boxes ","","Reconciled"
"Income","2023-08-28 21:32:48","21:32","Elbids","250.00","PHP","1.0000000000","Others","Buy and Sell","Wallet","Firefly 6-in Rechargeable Fan ","","Reconciled"
"Income","2023-08-28 21:00:45","21:00","Elbids","100.00","PHP","1.0000000000","Others","Buy and Sell","GCash","2 Pillows ","","Reconciled"
"Expense","2023-08-28 20:00:22","20:00","Sizzling Burger Steak","-65.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Income","2023-08-28 19:10:35","19:10","Elbids","1500.00","PHP","1.0000000000","Others","Buy and Sell","Wallet","Royal Kludge RK84 Mech Keyboard ","","Reconciled"
"Income","2023-08-28 19:09:26","19:09","Elbids","200.00","PHP","1.0000000000","Others","Buy and Sell","Wallet","Elite Black Yoga Mat","","Reconciled"
"Expense","2023-08-28 13:19:34","13:19","Bulacan to Elbi","-251.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2023-08-28 11:46:18","11:46","Delight","-26.00","PHP","1.0000000000","Food","Food & Drinks","GCash","","","Reconciled"
"Income","2023-08-26 10:07:51","10:07","Tita Emily","500.00","PHP","1.0000000000","Allowance","Tip","Wallet","","","Reconciled"
"Expense","2023-08-22 10:09:13","10:09","Food and Drinks","-214.00","PHP","1.0000000000","Food","Food & Drinks","GCash","","","Reconciled"
