"Type","Date","Set Time","Title","Amount","Currency","Exchange Rate","Category Group Name","Category","Account","Notes","Labels","Status"
"Expense","2022-12-30 06:00:22","06:00","Poco F3","-1500.00","PHP","1.0000000000","Shopping","Electronics/Gadgets","Union Bank","","","Void"
"Income","2022-12-29 14:50:00","14:50","Tip","13.00","PHP","1.0000000000","Allowance","Tip","Wallet","","","Reconciled"
"Expense","2022-12-29 12:13:46","12:13","Spotify Premium","-200.00","PHP","1.0000000000","Bills","Online Subscriptions ","GCash","","","Reconciled"
"Income","2022-12-28 13:31:00","13:31","Aguinaldo","1000.00","PHP","1.0000000000","Allowance","Gift","Wallet","","","Reconciled"
"Expense","2022-12-26 19:49:34","19:49","Daddy","-5.00","PHP","1.0000000000","Leisure","Gifts/Treats","Wallet","","","Reconciled"
"Transfer","2022-12-26 15:53:55","15:53","Wallet to Union Bank","-500.00","PHP","1.0000000000","(Transfer)","(Transfer)","Wallet","","","Reconciled"
"Transfer","2022-12-26 15:53:55","15:53","Wallet to Union Bank","500.00","PHP","1.0000000000","(Transfer)","(Transfer)","Union Bank","","","Reconciled"
"Expense","2022-12-26 12:49:57","12:49","Water","-5.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Income","2022-12-25 14:40:41","14:40","Aguinaldo","500.00","PHP","1.0000000000","Allowance","Gift","Wallet","","","Reconciled"
"Income","2022-12-25 14:40:34","14:40","Aguinaldo","500.00","PHP","1.0000000000","Allowance","Gift","Wallet","","","Reconciled"
"Income","2022-12-25 14:38:19","14:38","Prize","100.00","PHP","1.0000000000","Allowance","Gift","Wallet","","","Reconciled"
"Income","2022-12-25 14:38:01","14:38","Aguinaldo","1000.00","PHP","1.0000000000","Allowance","Gift","Wallet","","","Reconciled"
"Income","2022-12-23 14:06:16","14:06","Tip (Daddy)","300.00","PHP","1.0000000000","Allowance","Tip","Wallet","","","Reconciled"
"Income","2022-12-23 14:05:57","14:05","Tip (Kuya A)","500.00","PHP","1.0000000000","Allowance","Tip","GCash","","","Reconciled"
"Income","2022-12-22 23:07:00","23:07","Allowance (Kuya A)","500.00","PHP","1.0000000000","Allowance","Allowance","GCash","","","Reconciled"
"Income","2022-12-22 11:34:56","11:34","Allowance (Mommy)","100.00","PHP","1.0000000000","Allowance","Allowance","Wallet","","","Reconciled"
"Expense","2022-12-20 14:33:43","14:33","Bulacan to Elbi","-256.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2022-12-20 11:01:47","11:01","Taho","-20.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-12-19 22:04:31","22:04","Cup noodles","-36.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-12-19 21:01:10","21:01","Sizzling Liempo","-85.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Income","2022-12-19 14:08:21","14:08","Sold tuna (Iverson)","34.00","PHP","1.0000000000","Others","Others","Wallet","","","Reconciled"
"Expense","2022-12-18 15:18:47","15:18","Star Grocery","-207.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-12-18 15:18:06","15:18","Jollibee","-158.00","PHP","1.0000000000","Food","Dine Out","GrabPay","","","Reconciled"
"Expense","2022-12-18 13:05:25","13:05","Bananas","-30.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-12-18 11:28:29","11:28","Load","-103.02","PHP","1.0000000000","Bills","Load","GCash","","","Reconciled"
"Expense","2022-12-17 18:24:19","18:24","Dali Grocery","-118.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-12-17 13:00:43","13:00","Enteng's Cheesilog","-140.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Expense","2022-12-16 22:43:12","22:43","Ministop","-114.00","PHP","1.0000000000","Food","Dine Out","GCash","","","Reconciled"
"Expense","2022-12-16 18:42:14","18:42","Bulacan to Elbi","-247.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2022-12-15 13:10:13","13:10","Haircut","-60.00","PHP","1.0000000000","Personal Care","Self-Care","Wallet","","","Reconciled"
"Expense","2022-12-14 18:48:45","18:48","Minecraft","-55.00","PHP","1.0000000000","Bills","Online Subscriptions ","GCash","","","Reconciled"
"Expense","2022-12-14 18:47:57","18:47","Food and Drinks","-60.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-12-10 20:05:52","20:05","Delight","-26.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-12-08 21:09:43","21:09","Water, Delight","-18.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-12-08 21:09:30","21:09","Gym","-600.00","PHP","1.0000000000","Personal Care","Health & Fitness","GCash","","","Reconciled"
"Expense","2022-12-08 10:17:33","10:17","Mommy","37.00","PHP","1.0000000000","Leisure","Gifts/Treats","Wallet","","","Reconciled"
"Transfer","2022-12-08 10:13:30","10:13","Binance P2P Gcash","-1396.26","PHP","1.0000000000","(Transfer)","(Transfer)","Binance","","","Reconciled"
"Transfer","2022-12-08 10:13:30","10:13","Binance P2P Gcash","1396.26","PHP","1.0000000000","(Transfer)","(Transfer)","GCash","","","Reconciled"
"Transfer","2022-12-08 10:13:19","10:13","Ronin to Binance","-1400.00","PHP","1.0000000000","(Transfer)","(Transfer)","Ronin","","","Reconciled"
"Transfer","2022-12-08 10:13:19","10:13","Ronin to Binance","1400.00","PHP","1.0000000000","(Transfer)","(Transfer)","Binance","","","Reconciled"
"Income","2022-12-08 10:12:46","10:12","Axie buy and sell","1276.00","PHP","1.0000000000","Investments","Axie Infinity ","Ronin","","","Reconciled"
"Expense","2022-12-07 10:17:13","10:17","Daddy","-20.00","PHP","1.0000000000","Leisure","Gifts/Treats","Wallet","","","Reconciled"
"Expense","2022-12-06 22:18:55","22:18","Elbi to Bulacan","-254.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2022-12-06 22:18:38","22:18","Chocolates","-341.00","PHP","1.0000000000","Leisure","Gifts/Treats","Wallet","","","Reconciled"
"Expense","2022-12-06 22:18:29","22:18","Kimm","75.00","PHP","1.0000000000","Food","Food & Drinks","GCash","","","Reconciled"
"Expense","2022-12-06 14:02:46","14:02","We Deliver","-104.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Expense","2022-12-06 10:05:18","10:05","Linkbiz Portal Fee","-17.00","PHP","1.0000000000","Bills","Transaction Fees","Union Bank","","","Reconciled"
"Expense","2022-12-06 10:05:06","10:05","VetMed dorm fee","-2935.00","PHP","1.0000000000","Bills","Rent","Union Bank","","","Reconciled"
"Expense","2022-12-06 10:04:58","10:04","Instapay","-15.00","PHP","1.0000000000","Bills","Transaction Fees","GCash","","","Reconciled"
"Transfer","2022-12-06 10:04:46","10:04","Gcash to Union Bank","-400.00","PHP","1.0000000000","(Transfer)","(Transfer)","GCash","","","Reconciled"
"Transfer","2022-12-06 10:04:46","10:04","Gcash to Union Bank","400.00","PHP","1.0000000000","(Transfer)","(Transfer)","Union Bank","","","Reconciled"
"Expense","2022-12-06 10:04:38","10:04","Instapay","-14.00","PHP","1.0000000000","Bills","Transaction Fees","Maya","","","Reconciled"
"Transfer","2022-12-06 10:04:22","10:04","Maya to Union Bank","-895.00","PHP","1.0000000000","(Transfer)","(Transfer)","Maya","","","Reconciled"
"Transfer","2022-12-06 10:04:22","10:04","Maya to Union Bank","895.00","PHP","1.0000000000","(Transfer)","(Transfer)","Union Bank","","","Reconciled"
"Expense","2022-12-06 09:52:46","09:52","Kimm","200.00","PHP","1.0000000000","Food","Food & Drinks","GCash","","","Reconciled"
"Expense","2022-12-06 09:44:19","09:44","Tita Tes","-75.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-12-05 17:25:45","17:25","Mcdo","-117.00","PHP","1.0000000000","Food","Dine Out","GCash","","","Reconciled"
"Expense","2022-12-05 14:28:09","14:28","Bulacan to Elbi","-247.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2022-12-05 08:32:58","08:32","Delight","-13.00","PHP","1.0000000000","Food","Food & Drinks","GCash","","","Reconciled"
"Expense","2022-12-04 20:07:09","20:07","Gym","-50.00","PHP","1.0000000000","Personal Care","Health & Fitness","GCash","","","Reconciled"
"Expense","2022-12-04 20:06:55","20:06","Gym","-150.00","PHP","1.0000000000","Personal Care","Health & Fitness","Wallet","","","Reconciled"
"Expense","2022-12-04 20:06:26","20:06","Delight","-39.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-12-04 20:05:40","20:05","Jeep","-33.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2022-12-04 20:04:53","20:04","ATM Fee","-16.00","PHP","1.0000000000","Bills","Transaction Fees","Union Bank","","","Reconciled"
"Transfer","2022-12-04 20:04:25","20:04","Union Bank to Cash","-2900.00","PHP","1.0000000000","(Transfer)","(Transfer)","Union Bank","","","Reconciled"
"Transfer","2022-12-04 20:04:25","20:04","Union Bank to Cash","2900.00","PHP","1.0000000000","(Transfer)","(Transfer)","Wallet","","","Reconciled"
"Expense","2022-12-02 15:13:08","15:13","Delight","-17.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-12-01 15:12:43","15:12","Gym","-50.00","PHP","1.0000000000","Personal Care","Health & Fitness","Wallet","","","Reconciled"
"Expense","2022-11-30 09:35:34","09:35","Louell","200.00","PHP","1.0000000000","Food","Dine Out","GCash","","","Reconciled"
"Income","2022-11-29 19:39:45","19:39","Allowance (Kuya A)","3000.00","PHP","1.0000000000","Allowance","Allowance","Union Bank","","","Reconciled"
"Expense","2022-11-28 16:23:54","16:23","RC cola","-35.00","PHP","1.0000000000","Food","Food & Drinks","GCash","","","Reconciled"
"Expense","2022-11-27 16:23:43","16:23","Mommy","50.00","PHP","1.0000000000","Leisure","Gifts/Treats","Wallet","","","Reconciled"
"Expense","2022-11-27 16:23:33","16:23","Mommy","-20.00","PHP","1.0000000000","Leisure","Gifts/Treats","Wallet","","","Reconciled"
"Expense","2022-11-26 16:23:14","16:23","Daddy","-100.00","PHP","1.0000000000","Leisure","Gifts/Treats","Wallet","","","Reconciled"
"Expense","2022-11-25 14:59:09","14:59","Daddy","-20.00","PHP","1.0000000000","Leisure","Gifts/Treats","Wallet","","","Reconciled"
"Expense","2022-11-25 14:59:02","14:59","Delight","-26.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-11-24 19:43:31","19:43","Daddy","-20.00","PHP","1.0000000000","Leisure","Gifts/Treats","Wallet","","","Reconciled"
"Expense","2022-11-24 09:56:27","09:56","Alms","-5.00","PHP","1.0000000000","Leisure","Gifts/Treats","Wallet","","","Reconciled"
"Expense","2022-11-24 07:05:49","07:05","Elbi to Bulacan","-212.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2022-11-23 18:18:36","18:18","Kimm","152.00","PHP","1.0000000000","Food","Food & Drinks","GCash","","","Reconciled"
"Expense","2022-11-23 18:18:23","18:18","Ricoa","-45.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-11-23 18:18:08","18:18","Groceries","-413.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Income","2022-11-23 15:06:08","15:06","Interest","0.55","PHP","1.0000000000","Others","Others","Maya","","","Reconciled"
"Expense","2022-11-23 11:11:11","11:11","Ulam","-100.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-11-23 11:10:58","11:10","Taho","-20.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-11-22 18:12:01","18:12","Vitamilk","-24.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-11-22 18:11:47","18:11","Ulam","-70.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-11-22 15:12:44","15:12","Food and Drinks","-365.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-11-21 18:08:42","18:08","Bugong","-172.00","PHP","1.0000000000","Food","Dine Out","GCash","","","Reconciled"
"Expense","2022-11-21 12:09:35","12:09","Jollibee","-135.00","PHP","1.0000000000","Food","Dine Out","GCash","","","Reconciled"
"Expense","2022-11-20 15:08:00","15:08","Groceries","-509.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-11-20 15:07:46","15:07","ATM Fee","-16.00","PHP","1.0000000000","Bills","Transaction Fees","Union Bank","","","Reconciled"
"Transfer","2022-11-20 15:07:11","15:07","Union Bank to Cash","-1900.00","PHP","1.0000000000","(Transfer)","(Transfer)","Union Bank","","","Reconciled"
"Transfer","2022-11-20 15:07:11","15:07","Union Bank to Cash","1900.00","PHP","1.0000000000","(Transfer)","(Transfer)","Wallet","","","Reconciled"
"Expense","2022-11-20 15:05:48","15:05","Instapay","-15.00","PHP","1.0000000000","Bills","Transaction Fees","Maya","","","Reconciled"
"Transfer","2022-11-20 15:05:03","15:05","Maya to Union Bank","-1950.00","PHP","1.0000000000","(Transfer)","(Transfer)","Maya","","","Reconciled"
"Transfer","2022-11-20 15:05:03","15:05","Maya to Union Bank","1950.00","PHP","1.0000000000","(Transfer)","(Transfer)","Union Bank","","","Reconciled"
"Expense","2022-11-19 19:18:15","19:18","Groceries","-248.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2022-11-19 19:17:59","19:17","ATM Fee","-16.00","PHP","1.0000000000","Bills","Transaction Fees","Union Bank","","","Reconciled"
"Transfer","2022-11-19 19:17:36","19:17","Union Bank to Cash","-300.00","PHP","1.0000000000","(Transfer)","(Transfer)","Union Bank","","","Reconciled"
"Transfer","2022-11-19 19:17:36","19:17","Union Bank to Cash","300.00","PHP","1.0000000000","(Transfer)","(Transfer)","Wallet","","","Reconciled"
"Transfer","2022-11-19 14:46:58","14:46","Maya to Union Bank","-1500.00","PHP","1.0000000000","(Transfer)","(Transfer)","Maya","","","Reconciled"
"Transfer","2022-11-19 14:46:58","14:46","Maya to Union Bank","1500.00","PHP","1.0000000000","(Transfer)","(Transfer)","Union Bank","","","Reconciled"
"Income","2022-11-19 14:43:25","14:43","Interest","7.31","PHP","1.0000000000","Others","Others","Maya","","","Reconciled"
